alpha,beta,th_factor,method,value,F1,precision,recall,TP,TN,FP,FN
0.4,0.6,1,STD,0.3846568140594771,0.5709791089856532,0.521374396690416,0.6310152990264256,4537,46563,4165,2653
0.4,0.6,1.5,IQR,0.3665748126414065,0.5735130456287869,0.5162511130899377,0.6450625869262865,4638,46382,4346,2552
0.4,0.6,1.5,MAD,0.2647098690005726,0.581567220954244,0.4772565108811987,0.7442280945757997,5351,44867,5861,1839
0.4,0.6,1.5,STD,0.4461193602753938,0.5696636003491573,0.5506945345969103,0.5899860917941585,4242,47267,3461,2948
0.4,0.6,2,IQR,0.4200823912448552,0.5710546977231091,0.5391648134420558,0.6069541029207233,4364,46998,3730,2826
0.4,0.6,2,MAD,0.3035230648977605,0.586104445206262,0.49738169123351433,0.7133518776077886,5129,45545,5183,2061
0.4,0.6,2,STD,0.5894369115054434,0.5340488247298012,0.5848369475252442,0.4913769123783032,3533,48220,2508,3657
0.30000000000000004,0.7,0.5,IQR,0.1947600514925755,0.5786468433527258,0.4722173377879374,0.747009735744089,5371,44725,6003,1819
0.30000000000000004,0.7,0.5,MAD,0.13970869470539388,0.5099643199025324,0.3710739614994934,0.8150208623087621,5860,40796,9932,1330
0.30000000000000004,0.7,0.5,STD,0.20466440686023524,0.5850317773394696,0.4826432833122401,0.7425591098748261,5339,45005,5723,1851
0.30000000000000004,0.7,1,IQR,0.23489929522009578,0.5830382539037557,0.5003487097738368,0.6984700973574409,5022,45713,5015,2168
0.30000000000000004,0.7,1,MAD,0.16918649535591257,0.5564929195540825,0.43547626532536937,0.770653685674548,5541,43545,7183,1649
0.30000000000000004,0.7,1,STD,0.2751835892065708,0.5738140886882306,0.5166499610201581,0.645201668984701,4639,46388,4340,2551
0.30000000000000004,0.7,1.5,IQR,0.2749064073967285,0.5738495794161306,0.5167075072399198,0.645201668984701,4639,46389,4339,2551
0.30000000000000004,0.7,1.5,MAD,0.1985033469030421,0.5819605284619148,0.4777291796840132,0.7443671766342141,5352,44877,5851,1838
0.30000000000000004,0.7,1.5,STD,0.3549266831711604,0.5702639215144397,0.5665842943437671,0.5739916550764951,4127,47571,3157,3063
0.30000000000000004,0.7,2,IQR,0.3151557763763536,0.5709797761633616,0.5392508344665595,0.6066759388038943,4362,47001,3727,2828
0.30000000000000004,0.7,2,MAD,0.22804659366514954,0.5852708738976061,0.4974688473520249,0.7107093184979137,5110,45566,5162,2080
0.30000000000000004,0.7,2,STD,0.38472035063710874,0.5637038093879297,0.578646748681898,0.5495132127955493,3951,47851,2877,3239
0.20000000000000007,0.7999999999999999,0.5,IQR,0.1299357793325624,0.5783236371471666,0.47195357833655704,0.7465924895688456,5368,44722,6006,1822
0.20000000000000007,0.7999999999999999,0.5,MAD,0.09324618312487606,0.5104809950421848,0.3713616805871931,0.8162726008344924,5869,40793,9935,1321
0.20000000000000007,0.7999999999999999,0.5,STD,0.132778030924498,0.5816243268236959,0.47761994103457517,0.7435326842837274,5346,44881,5847,1844
0.20000000000000007,0.7999999999999999,1,IQR,0.15661959150666113,0.5828690807799443,0.5000995817566222,0.6984700973574409,5022,45708,5020,2168
0.20000000000000007,0.7999999999999999,1,MAD,0.11277777418387597,0.5567486201705971,0.43547880690737834,0.7716272600834493,5548,43536,7192,1642
0.20000000000000007,0.7999999999999999,1,STD,0.18860206638548288,0.5740301858550579,0.5203527815468114,0.6400556328233657,4602,46486,4242,2588
